gene,cell_group,donors,total_nuclei,mean_expression,mean_percent_expressing
GLDC,Repair_damage_SC,20,4151,0.18355896339473915,9.026807747660978
GLDC,B_cell,20,241,0.222302262570514,6.723716896130689
GLDC,Granulocyte,14,236,0.06642010989562461,1.4285714285714286
GLDC,Adipo,19,2582,0.016594097917627594,1.3131822524075278
GLDC,Nonmyelinating_SC,20,38927,0.028974319762538708,1.2169319640337672
GLDC,Other_EC,20,20899,0.023599505869355282,1.1954547371191697
GLDC,Mast,20,775,0.03106947889907708,1.038690476190476
GLDC,T_NK,20,1841,0.025677058716500934,0.9481514822908398
GLDC,Macrophage,20,7437,0.01998385321530298,0.817006582545354
GLDC,BNB_EC,20,4793,0.01597476606191341,0.8070767857997991
GLDC,Epineurial_stroma,20,20672,0.014862510846609325,0.7662313277134345
GLDC,Perineurium,20,56134,0.007115512846940715,0.38528917021781073
GLDC,Endoneurial_stroma,20,18018,0.006611805625234735,0.36429421174163823
GLDC,Pericyte_VSMC,20,38774,0.007128147843027501,0.34351526240940067
GNG7,B_cell,20,241,1.9450275322683495,59.0487075185351
GNG7,Macrophage,20,7437,0.4820586108862324,18.224381796398532
GNG7,Adipo,19,2582,0.16167569080263344,12.34633294952221
GNG7,BNB_EC,20,4793,0.2369656150999809,10.809125615516196
GNG7,Repair_damage_SC,20,4151,0.20988928373071505,10.808269852911772
GNG7,Mast,20,775,0.1985322166836493,8.627482007395614
GNG7,Other_EC,20,20899,0.15437339246640397,7.330745444421031
GNG7,Perineurium,20,56134,0.10479821584302658,5.33717512657312
GNG7,Nonmyelinating_SC,20,38927,0.12420339244214103,5.0236805105568365
GNG7,T_NK,20,1841,0.11504648764091466,4.343818195787346
GNG7,Granulocyte,14,236,0.1639764048602451,4.315694784954217
GNG7,Pericyte_VSMC,20,38774,0.0814867081257655,3.807565369032769
GNG7,Epineurial_stroma,20,20672,0.055984719501325365,3.0213979804520585
GNG7,Myelinating_SC,19,5535,0.04885632377959139,2.7458702839314078
GNG7,Endoneurial_stroma,20,18018,0.02187426256046792,1.2062401773735398
IDUA,Adipo,19,2582,0.08990052184699378,7.205703775304534
