disease,cell_group,gene,evidence_tier,n_donors,total_nuclei,mean_expression,median_expression,mean_percent_expressing
CIAP,Other_EC,GNG7,CIDP,11,11996,0.1740187934741781,0.1735675459592727,8.414998406423726
CIAP,Other_EC,IDUA,Inflammatory_polyneuropathy,11,11996,0.057273499719477,0.0582197294464967,3.151525580723363
CIAP,Other_EC,ME1,Inflammatory_polyneuropathy,11,11996,0.020970107350183,0.0112499049244454,1.1027212600538554
CIAP,Other_EC,SLAMF9,Inflammatory_polyneuropathy,11,11996,0.0,0.0,0.0
CIAP,Other_EC,SLC39A3,CIDP,11,11996,0.0215085705637459,0.0150623432149045,1.136017117243084
CIAP,Other_EC,TMEM175,Inflammatory_polyneuropathy,11,11996,0.1079926249763481,0.1083541682246808,5.82996120815493
CIAP,Pericyte_VSMC,CDH4,CIDP,11,23531,0.0130765932151276,0.0091411553301582,0.7138077102343334
CIAP,Pericyte_VSMC,DCTN1,Inflammatory_polyneuropathy,11,23531,0.1572792477200685,0.1535225403545516,8.031060336396383
CIAP,Pericyte_VSMC,DGKQ,Inflammatory_polyneuropathy,11,23531,0.0293513467383711,0.0282683392329078,1.5330692693530257
CIAP,Pericyte_VSMC,DIRAS1,CIDP,11,23531,0.0013205716053095,0.0013314187963284,0.070653716872855
CIAP,Pericyte_VSMC,GLDC,Inflammatory_polyneuropathy,11,23531,0.0073530431255117,0.0062421596833097,0.3443701711780111
CIAP,Pericyte_VSMC,GNG7,CIDP,11,23531,0.0815355516813685,0.0882965952010505,3.6710587302459614
CIAP,Pericyte_VSMC,IDUA,Inflammatory_polyneuropathy,11,23531,0.0267534603551468,0.0293526609255225,1.452935367346866
CIAP,Pericyte_VSMC,ME1,Inflammatory_polyneuropathy,11,23531,0.207639640822579,0.1465832151162131,9.324436355867316
CIAP,Pericyte_VSMC,SLAMF9,Inflammatory_polyneuropathy,11,23531,0.0001555280619081,0.0,0.0045902090840237
CIAP,Pericyte_VSMC,SLC39A3,CIDP,11,23531,0.0130838723572894,0.0125108121770195,0.7156568515762332
CIAP,Pericyte_VSMC,TMEM175,Inflammatory_polyneuropathy,11,23531,0.1184541584434856,0.111562797198785,5.873998731183973
CIAP,Perineurium,CDH4,CIDP,11,30047,0.038708006527043,0.0247900647284278,1.9702397342331308
CIAP,Perineurium,DCTN1,Inflammatory_polyneuropathy,11,30047,0.1399879386861392,0.1361915633624645,7.54560610417127
CIAP,Perineurium,DGKQ,Inflammatory_polyneuropathy,11,30047,0.0235976042278439,0.0233357692460123,1.2855033685787658
CIAP,Perineurium,DIRAS1,CIDP,11,30047,0.0004744851205108,0.0,0.0208146816590154
CIAP,Perineurium,GLDC,Inflammatory_polyneuropathy,11,30047,0.0050860034965554,0.0042151952006238,0.2897868372134067
CIAP,Perineurium,GNG7,CIDP,11,30047,0.1080418090435448,0.0976576626672485,5.633114397910583
CIAP,Perineurium,IDUA,Inflammatory_polyneuropathy,11,30047,0.0340819461873868,0.0326603526634772,1.87838485395963
CIAP,Perineurium,ME1,Inflammatory_polyneuropathy,11,30047,0.4289269934816096,0.4063345913113748,18.8478290170151
CIAP,Perineurium,SLAMF9,Inflammatory_polyneuropathy,11,30047,0.0,0.0,0.0
CIAP,Perineurium,SLC39A3,CIDP,11,30047,0.0092446320221971,0.0081134604851099,0.5725005097122007
CIAP,Perineurium,TMEM175,Inflammatory_polyneuropathy,11,30047,0.1261858013126413,0.116802226814363,6.445427313862146
CIAP,Repair_damage_SC,CDH4,CIDP,11,2392,0.4072976974105634,0.3134504494918693,14.861426678964248
CIAP,Repair_damage_SC,DCTN1,Inflammatory_polyneuropathy,11,2392,0.2325229788394286,0.2264177735047167,12.651738700183556
CIAP,Repair_damage_SC,DGKQ,Inflammatory_polyneuropathy,11,2392,0.0206441284118309,0.0196350083603183,1.1218166319127985
CIAP,Repair_damage_SC,DIRAS1,CIDP,11,2392,0.0152989143861514,0.0113358765216271,0.7805301579411286
CIAP,Repair_damage_SC,GLDC,Inflammatory_polyneuropathy,11,2392,0.1686977738392872,0.1418695718520665,8.62280216667529
CIAP,Repair_damage_SC,GNG7,CIDP,11,2392,0.2083301233008168,0.1968664179785909,10.188537767705125
CIAP,Repair_damage_SC,IDUA,Inflammatory_polyneuropathy,11,2392,0.0435899323400495,0.0421283210749137,2.4032027655451027
CIAP,Repair_damage_SC,ME1,Inflammatory_polyneuropathy,11,2392,0.1383565776972176,0.1256531332325136,7.279816930268185
CIAP,Repair_damage_SC,SLAMF9,Inflammatory_polyneuropathy,11,2392,0.0,0.0,0.0
CIAP,Repair_damage_SC,SLC39A3,CIDP,11,2392,0.0073766339016322,0.0076513416036879,0.4947725130610191
CIAP,Repair_damage_SC,TMEM175,Inflammatory_polyneuropathy,11,2392,0.1246267081918042,0.1300217597140422,7.189706301174661
CIAP,T_NK,CDH4,CIDP,11,1077,0.0358348580673722,0.0274803200826147,1.8415159859734984
CIAP,T_NK,DCTN1,Inflammatory_polyneuropathy,11,1077,0.0574832603365806,0.0627107913308297,3.036201856512839
CIAP,T_NK,DGKQ,Inflammatory_polyneuropathy,11,1077,0.1123628746910005,0.1043694702323373,4.989282923823428
CIAP,T_NK,DIRAS1,CIDP,11,1077,0.0,0.0,0.0
CIAP,T_NK,GLDC,Inflammatory_polyneuropathy,11,1077,0.0226431782103324,0.0,0.6487389200530981
CIAP,T_NK,GNG7,CIDP,11,1077,0.1271763362071433,0.1036534073516064,4.700631623725141
CIAP,T_NK,IDUA,Inflammatory_polyneuropathy,11,1077,0.0336588378032149,0.0416886655767619,1.4645973110301418
CIAP,T_NK,ME1,Inflammatory_polyneuropathy,11,1077,0.0759618377421604,0.0455988853972909,3.215588591198721
CIAP,T_NK,SLAMF9,Inflammatory_polyneuropathy,11,1077,0.0,0.0,0.0
CIAP,T_NK,SLC39A3,CIDP,11,1077,0.0171410155026685,0.0110156026684243,0.8798085519921706
CIAP,T_NK,TMEM175,Inflammatory_polyneuropathy,11,1077,0.1591832736375436,0.1591216154417537,6.638694040058629
CIDP,Adipo,CDH4,CIDP,8,953,0.0520737893939538,0.0406258370446038,5.513198973585887
CIDP,Adipo,DCTN1,Inflammatory_polyneuropathy,8,953,0.1126607556578603,0.0984360491639119,10.615376486058164
CIDP,Adipo,DGKQ,Inflammatory_polyneuropathy,8,953,0.040329795742478,0.0319156694694097,3.668940262034095
CIDP,Adipo,DIRAS1,CIDP,8,953,0.0,0.0,0.0
CIDP,Adipo,GLDC,Inflammatory_polyneuropathy,8,953,0.0269074411382762,0.0218931288466901,1.9601805042372096
CIDP,Adipo,GNG7,CIDP,8,953,0.1738978986995622,0.1438596213555999,12.52813049981678
CIDP,Adipo,IDUA,Inflammatory_polyneuropathy,8,953,0.0643909725683099,0.0584611994592572,5.559947255951908
CIDP,Adipo,ME1,Inflammatory_polyneuropathy,8,953,1.965705535762421,1.914577673606166,72.86162134487063
CIDP,Adipo,SLAMF9,Inflammatory_polyneuropathy,8,953,0.0,0.0,0.0
CIDP,Adipo,SLC39A3,CIDP,8,953,0.0300622232110555,0.0225595169910798,2.271776504414019
CIDP,Adipo,TMEM175,Inflammatory_polyneuropathy,8,953,0.1285653215792448,0.1408292274755034,12.25887749319524
CIDP,BNB_EC,CDH4,CIDP,9,2470,0.0015510372558428,0.0,0.114564304339001
CIDP,BNB_EC,DCTN1,Inflammatory_polyneuropathy,9,2470,0.1311003682004983,0.1204640828766229,7.571308253193624
CIDP,BNB_EC,DGKQ,Inflammatory_polyneuropathy,9,2470,0.0418401946346871,0.0419358861079867,2.4293764106518547
CIDP,BNB_EC,DIRAS1,CIDP,9,2470,0.0,0.0,0.0
CIDP,BNB_EC,GLDC,Inflammatory_polyneuropathy,9,2470,0.0151166950488017,0.0054018470613407,0.7369028891810225
