gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
SLC39A3,CIDP,AB,Human Protein Atlas loc,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Literature,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,UniProt Ubiquitination,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Database Ubiquitination,True,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Half-life Data,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Small Molecule Binder,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Structure with Ligand,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,High-Quality Ligand,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,High-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Druggable Family,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,UniProt loc high conf,True,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,GO CC high conf,True,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,UniProt loc med conf,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,UniProt SigP or TMHMM,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,GO CC med conf,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,AB,Human Protein Atlas loc,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Literature,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,UniProt Ubiquitination,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Database Ubiquitination,True,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Half-life Data,True,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,PR,Small Molecule Binder,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,OC,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,OC,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
