program,gene,original_gene_id,sample,preparation,fpkm,source_url
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,32P1,Laser captured normal microvessels,59.69,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,203P1,Laser captured normal microvessels,208.4,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,346P1,Laser captured normal microvessels,15.33,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,347P1,Laser captured normal microvessels,70.31,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,P3pHEnd_EC,Cultured endothelial cells,330.15,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,P8_pHEnd_EC_basal,Cultured endothelial cells,350.08,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,32P1,Laser captured normal microvessels,22.05,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,203P1,Laser captured normal microvessels,28.87,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,346P1,Laser captured normal microvessels,3.29,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,347P1,Laser captured normal microvessels,22.36,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,P3pHEnd_EC,Cultured endothelial cells,2.54,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,P8_pHEnd_EC_basal,Cultured endothelial cells,2.11,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial transport,ABCB1,ENSG00000085563.14_1_ABCB1,32P1,Laser captured normal microvessels,24.92,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
