cell_group,gene,evidence_tier,n_CIDP,n_CIAP,mean_CIDP,mean_CIAP,delta_mean,p_value,fdr_within_cell_group
BNB_EC,GLDC,Inflammatory_polyneuropathy,9,11,0.0151166950488017,0.0166768241635502,-0.0015601291147485,0.6947151681503079,0.849096316628154
BNB_EC,GNG7,CIDP,9,11,0.2452638515796663,0.2301761488893293,0.015087702690337,0.648503379652976,0.849096316628154
BNB_EC,IDUA,Inflammatory_polyneuropathy,9,11,0.0555515524172602,0.0704061081499794,-0.0148545557327191,0.3048769783968789,0.5687546337333023
BNB_EC,ME1,Inflammatory_polyneuropathy,9,11,0.0220281683570128,0.0233960258251504,-0.0013678574681376,0.8734294189889954,0.9607723608878947
BNB_EC,SLAMF9,Inflammatory_polyneuropathy,9,11,0.0003376793403411,0,0.0003376793403411,0.3148786413364199,0.5687546337333023
BNB_EC,SLC39A3,CIDP,9,11,0.03157223669713,0.0151296588282795,0.0164425778688505,0.0933976745287926,0.5687546337333023
BNB_EC,TMEM175,Inflammatory_polyneuropathy,9,11,0.0975649180027779,0.1139856996881168,-0.0164207816853389,0.3233200091339152,0.5687546337333023
B_cell,CDH4,CIDP,9,11,0.0130841758895854,0.0024031560375361,0.0106810198520493,0.8840585820512205,1
B_cell,DCTN1,Inflammatory_polyneuropathy,9,11,0.040175134634899,0.0187621843264326,0.0214129503084663,1,1
B_cell,DGKQ,Inflammatory_polyneuropathy,9,11,0.0044795845359728,0.1055848980677128,-0.1011053135317399,0.0751304568359443,0.4406230992684309
B_cell,DIRAS1,CIDP,9,11,0.0085979783151056,0.1393629836682465,-0.1307650053531408,0.6249542632109544,1
B_cell,GLDC,Inflammatory_polyneuropathy,9,11,0.0439171343653596,0.3682537311020039,-0.3243365967366443,0.7645226551303708,1
B_cell,GNG7,CIDP,9,11,1.5194353578913578,2.29323931130407,-0.7738039534127121,0.0801132907760783,0.4406230992684309
B_cell,IDUA,Inflammatory_polyneuropathy,9,11,0.0888320122599247,0.0403544354515609,0.0484775768083637,0.8417167361260092,1
B_cell,ME1,Inflammatory_polyneuropathy,9,11,0.2859539139660134,0.2884224931398267,-0.0024685791738132,1,1
B_cell,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
B_cell,SLC39A3,CIDP,9,11,0,0.003643764181544,-0.003643764181544,0.4213795037428696,1
B_cell,TMEM175,Inflammatory_polyneuropathy,9,11,0.0857525345845705,0.1163210674991335,-0.0305685329145629,0.6068984684766094,1
Endoneurial_stroma,CDH4,CIDP,9,11,0.1204044261571493,0.111698160704119,0.0087062654530303,0.9394400080349974,1
Endoneurial_stroma,DCTN1,Inflammatory_polyneuropathy,9,11,0.1375233856467844,0.1072373953566621,0.0302859902901222,0.1286431389530742,0.7075372642419082
Endoneurial_stroma,DGKQ,Inflammatory_polyneuropathy,9,11,0.0395294244317459,0.0454224347065192,-0.0058930102747733,0.3619347669211923,0.9347696659530828
Endoneurial_stroma,DIRAS1,CIDP,9,11,0.0003755075420617,0.0002816911128007,0.0000938164292610122,0.5411656457029764,0.9347696659530828
Endoneurial_stroma,GLDC,Inflammatory_polyneuropathy,9,11,0.0106234778112176,0.0033295283821578,0.0072939494290598,0.0282126982328751,0.3103396805616268
Endoneurial_stroma,GNG7,CIDP,9,11,0.0228893492220629,0.021043737110072,0.0018456121119909,0.8792283946861903,1
Endoneurial_stroma,IDUA,Inflammatory_polyneuropathy,9,11,0.07815053180599,0.0688677054358333,0.0092828263701567,0.5948534237883254,0.9347696659530828
Endoneurial_stroma,ME1,Inflammatory_polyneuropathy,9,11,0.5327367518199738,0.5821194369535632,-0.0493826851335893,0.7040429655866594,0.9680590776816568
Endoneurial_stroma,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
Endoneurial_stroma,SLC39A3,CIDP,9,11,0.0048555832353473,0.0070082924747637,-0.0021527092394164,0.5826966341630524,0.9347696659530828
Endoneurial_stroma,TMEM175,Inflammatory_polyneuropathy,9,11,0.1581026604876285,0.1751819152620697,-0.0170792547744412,0.4941245444092638,0.9347696659530828
Epineurial_stroma,CDH4,CIDP,9,11,0.2864875298765035,0.1713807481755689,0.1151067817009345,0.2241451540522022,0.6324899215121704
Epineurial_stroma,DCTN1,Inflammatory_polyneuropathy,9,11,0.1616036799373167,0.1383125068177934,0.0232911731195232,0.8197075378297883,0.8417167361260092
Epineurial_stroma,DGKQ,Inflammatory_polyneuropathy,9,11,0.0369950625579611,0.0341051928403808,0.0028898697175802,0.7040429655866594,0.8417167361260092
Epineurial_stroma,DIRAS1,CIDP,9,11,0.0004428369060551,0.0005603821000484,-0.0001175451939933,0.8417167361260092,0.8417167361260092
Epineurial_stroma,GLDC,Inflammatory_polyneuropathy,9,11,0.0180439364136297,0.0122595262917744,0.0057844101218552,0.4474117020093185,0.7030755317289292
Epineurial_stroma,GNG7,CIDP,9,11,0.0478088822163104,0.0626740409163376,-0.0148651587000272,0.1965119202345007,0.6324899215121704
