comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison
CIDP_vs_CIAP,Perineurium,CXCL8_CXCR1_2,9,11,0.003178044241381,-0.3337977705461719,0.336975814787553,0.1708155478642553,0.1708155478642553
CIDP_vs_CIAP,Perineurium,LIF_LIFR,9,11,0.0956469020054081,-0.2545212802689205,0.3501681822743286,0.0575194003956383,0.109195981404802
CIDP_vs_CIAP,Perineurium,Complement,9,11,0.0608915508036461,-0.2866726225746868,0.3475641733783329,0.033398146339218,0.109195981404802
CIDP_vs_CIAP,Perineurium,Fc_receptor,9,11,0.238750650344345,-0.2240042079513778,0.4627548582957228,0.1488794936994691,0.1701479927993933
CIDP_vs_CIAP,Perineurium,Macrophage_state,9,11,0.380593943571709,-0.3776028017350074,0.7581967453067164,0.0226544940800893,0.109195981404802
CIDP_vs_CIAP,Perineurium,Schwann_myelin_repair,9,11,0.1398024571363789,-0.2254368279579037,0.3652392850942827,0.0682474883780012,0.109195981404802
CIDP_vs_CIAP,Endoneurial_stroma,BNB_identity_integrity,9,11,0.4244881245131447,-0.0535299769105368,0.4780181014236817,0.1488794936994691,0.8948234040186371
CIDP_vs_CIAP,Endoneurial_stroma,Leukocyte_transmigration,9,11,0.1982842890924253,0.0242398092122752,0.17404447988015,0.4033175651094832,0.8948234040186371
CIDP_vs_CIAP,Endoneurial_stroma,CXCL8_CXCR1_2,9,11,-0.003683190535012,-0.0355137771766117,0.0318305866415996,1,1
CIDP_vs_CIAP,Endoneurial_stroma,LIF_LIFR,9,11,0.0148162280129889,-0.070945534325894,0.0857617623388829,0.7040429655866594,0.9368086146626152
CIDP_vs_CIAP,Endoneurial_stroma,Complement,9,11,0.0358933637457852,-0.0920510183616312,0.1279443821074164,0.4474117020093185,0.8948234040186371
CIDP_vs_CIAP,Endoneurial_stroma,Fc_receptor,9,11,0.1850221638791375,0.0468605233847321,0.1381616404944054,0.5948534237883254,0.9368086146626152
CIDP_vs_CIAP,Endoneurial_stroma,Macrophage_state,9,11,0.3095241096887317,-0.0902625287084347,0.3997866383971664,0.2241451540522022,0.8948234040186371
CIDP_vs_CIAP,Endoneurial_stroma,Schwann_myelin_repair,9,11,0.0456643438934642,-0.0863847199169483,0.1320490638104126,0.8197075378297883,0.9368086146626152
CIDP_vs_CIAP,Myelinating_SC,BNB_identity_integrity,9,10,-0.0585795791214244,0.0558454052301172,-0.1144249843515416,0.5402913746074198,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,Leukocyte_transmigration,9,10,0.0745307313123695,-0.0097530096443028,0.0842837409566723,0.6533789106936937,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,CXCL8_CXCR1_2,9,10,-0.0104466992935547,-0.1257355603108408,0.1152888610172861,0.960535300044334,0.960535300044334
CIDP_vs_CIAP,Myelinating_SC,LIF_LIFR,9,10,0.0847197550226259,-0.1222427745777434,0.2069625296003694,0.5402913746074198,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,Complement,9,10,0.1201653929985803,0.0576167051096975,0.0625486878888828,0.7750513736700824,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,Fc_receptor,9,10,-0.1088774050992724,0.2415804916353762,-0.3504578967346486,0.1309111278962908,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,Macrophage_state,9,10,0.1550662113358187,0.0280889985111708,0.1269772128246478,0.7750513736700824,0.9580074130123728
CIDP_vs_CIAP,Myelinating_SC,Schwann_myelin_repair,9,10,0.1150337735794307,0.1130355015761782,0.0019982720032525,0.8382564863858263,0.9580074130123728
CIDP_vs_CIAP,Nonmyelinating_SC,BNB_identity_integrity,9,11,0.0078094013896807,0.0637064460295807,-0.0558970446398999,1,1
CIDP_vs_CIAP,Nonmyelinating_SC,Leukocyte_transmigration,9,11,0.0049568469247791,0.0245729970236982,-0.019616150098919,0.7040429655866594,1
CIDP_vs_CIAP,Nonmyelinating_SC,CXCL8_CXCR1_2,9,11,-0.0666600122826071,-0.199449142710555,0.1327891304279478,0.4456962940475105,1
CIDP_vs_CIAP,Nonmyelinating_SC,LIF_LIFR,9,11,-0.178199356191287,0.0040783727517029,-0.1822777289429899,0.0946383952870955,0.7571071622967642
CIDP_vs_CIAP,Nonmyelinating_SC,Complement,9,11,0.019276089450357,0.0343096096589203,-0.0150335202085633,0.8792283946861903,1
CIDP_vs_CIAP,Nonmyelinating_SC,Fc_receptor,9,11,-0.0865126326443692,0.0549547961782202,-0.1414674288225895,0.9394400080349974,1
CIDP_vs_CIAP,Nonmyelinating_SC,Macrophage_state,9,11,-0.0356399053785256,-0.0815558690553245,0.0459159636767989,0.9394400080349974,1
CIDP_vs_CIAP,Nonmyelinating_SC,Schwann_myelin_repair,9,11,0.037753566920451,0.0163798571007663,0.0213737098196846,0.9394400080349974,1
CIDP_vs_CIAP,Repair_damage_SC,BNB_identity_integrity,9,10,0.2671764425473155,0.0868470240428785,0.180329418504437,0.4876683534589304,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,Leukocyte_transmigration,9,10,-0.0040096544474082,0.1347133464702842,-0.1387230009176925,0.2364447155723038,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,CXCL8_CXCR1_2,9,10,-0.1400030392387486,0.3093660056823656,-0.4493690449211143,0.257620539316171,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,LIF_LIFR,9,10,0.0615814373365874,-0.0050128149222386,0.0665942522588261,0.7133031738784577,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,Complement,9,10,0.0782843792576454,0.0738865550012599,0.0043978242563854,0.8382564863858263,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,Fc_receptor,9,10,0.0614128832609674,0.0606244285629027,0.0007884546980646,0.9025232501776794,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,Macrophage_state,9,10,0.1646866292444839,0.1052699076755491,0.0594167215689348,0.7750513736700824,0.9025232501776794
CIDP_vs_CIAP,Repair_damage_SC,Schwann_myelin_repair,9,10,0.0454857243574517,-0.0118304212695895,0.0573161456270412,0.3912672792826394,0.9025232501776794
